,OpenTime,ETH-USD_Open,ETH-USD_High,ETH-USD_Low,ETH-USD_Close,ETH-USD_volume,CloseTime,ETH-QuoteAssetVolume,ETH-NumberOfTrades,ETH-TBBAV,ETH-TBQAV,ETH-ignore
24,2023-01-11 16:00:00,1341.56,1344.74,1339.43,1342.63,21599.5192,2023-01-11 16:59:59.999,28985645.307921,17094.0,10920.0498,14653566.074875,0.0
25,2023-01-11 17:00:00,1342.63,1360.0,1340.39,1349.32,58171.764,2023-01-11 17:59:59.999,78482716.507381,49749.0,28705.7353,38720646.614319,0.0
26,2023-01-11 18:00:00,1349.33,1398.0,1349.32,1389.39,83160.4951,2023-01-11 18:59:59.999,114655274.301982,83955.0,43714.243,60210530.206461,0.0
27,2023-01-11 19:00:00,1389.4,1418.77,1386.0,1415.23,77872.9296,2023-01-11 19:59:59.999,108792040.672437,66038.0,41173.2008,57528453.726233,0.0
28,2023-01-11 20:00:00,1415.22,1416.39,1397.09,1401.46,64540.1168,2023-01-11 20:59:59.999,90652699.564115,50418.0,29909.8062,42014048.250756,0.0
29,2023-01-11 21:00:00,1401.46,1408.5,1396.93,1399.59,35465.9517,2023-01-11 21:59:59.999,49756297.866918,29374.0,16661.5274,23376151.410296,0.0
30,2023-01-11 22:00:00,1399.59,1403.41,1398.86,1400.99,19971.4457,2023-01-11 22:59:59.999,27994602.503579,19272.0,9186.1845,12875571.097316,0.0
31,2023-01-11 23:00:00,1400.99,1404.84,1400.48,1403.48,12812.5503,2023-01-11 23:59:59.999,17966500.842446,16022.0,6735.737,9444801.466041,0.0
32,2023-01-12 00:00:00,1403.47,1405.12,1393.45,1395.14,22827.7239,2023-01-12 00:59:59.999,31942116.260546,24081.0,10736.0402,15019538.327601,0.0
33,2023-01-12 01:00:00,1395.13,1401.75,1395.02,1398.93,14163.884,2023-01-12 01:59:59.999,19817273.942531,22821.0,7393.3963,10343339.244813,0.0
34,2023-01-12 02:00:00,1398.93,1402.46,1396.7,1398.45,20040.8372,2023-01-12 02:59:59.999,28055652.636271,19659.0,8587.4528,12024513.519132,0.0
35,2023-01-12 03:00:00,1398.44,1400.34,1394.86,1400.33,16468.8092,2023-01-12 03:59:59.999,23005143.67856,22141.0,8754.2192,12228931.049233,0.0
36,2023-01-12 04:00:00,1400.34,1403.11,1399.5,1400.03,25404.7941,2023-01-12 04:59:59.999,35588907.634975,19895.0,12483.4813,17487246.113065,0.0
37,2023-01-12 05:00:00,1400.04,1402.25,1396.93,1399.83,22148.7679,2023-01-12 05:59:59.999,31002598.241933,19027.0,10450.4643,14628497.769126,0.0
38,2023-01-12 06:00:00,1399.83,1399.84,1395.17,1397.78,17393.974,2023-01-12 06:59:59.999,24308411.274673,16908.0,9033.7054,12625409.285754,0.0
39,2023-01-12 07:00:00,1397.78,1399.92,1391.67,1399.45,28264.202,2023-01-12 07:59:59.999,39451972.678104,26199.0,14172.4553,19783612.458354,0.0
40,2023-01-12 08:00:00,1399.44,1408.0,1361.92,1405.15,127942.9457,2023-01-12 08:59:59.999,178002192.084196,117673.0,64023.786,89142189.007615,0.0
41,2023-01-12 09:00:00,1405.14,1407.98,1372.42,1381.0,70193.515,2023-01-12 09:59:59.999,97480287.77411,63343.0,32258.9146,44797289.62897,0.0
42,2023-01-12 10:00:00,1381.0,1388.84,1379.96,1386.07,27627.6096,2023-01-12 10:59:59.999,38276450.415686,30660.0,13033.0617,18051744.89492,0.0
43,2023-01-12 11:00:00,1386.07,1388.57,1383.25,1386.88,12757.8712,2023-01-12 11:59:59.999,17680927.915832,20213.0,6515.7173,9030554.148616,0.0
44,2023-01-12 12:00:00,1386.89,1432.79,1383.52,1428.72,85998.5006,2023-01-12 12:59:59.999,121447835.278969,85821.0,47943.2405,67678179.711804,0.0
45,2023-01-12 13:00:00,1428.72,1432.15,1412.51,1421.26,48254.5873,2023-01-12 13:59:59.999,68638480.763715,52726.0,22549.9721,32068184.268996,0.0
46,2023-01-12 14:00:00,1421.27,1437.6,1417.3,1425.86,31927.8966,2023-01-12 14:59:59.999,45520070.73217,41312.0,17385.526,24786307.019398,0.0
47,2023-01-12 15:00:00,1425.86,1434.99,1423.09,1433.42,26025.4885,2023-01-12 15:59:59.999,37194664.656496,33380.0,14300.7482,20438879.274127,0.0
48,2023-01-12 16:00:00,1433.41,1438.0,1422.83,1426.14,33974.5666,2023-01-12 16:59:59.999,48487791.03338,36315.0,16831.3312,24022761.269597,0.0
49,2023-01-12 17:00:00,1426.15,1427.19,1415.84,1422.54,19060.0465,2023-01-12 17:59:59.999,27092601.049498,21365.0,9750.8707,13859820.243955,0.0
50,2023-01-12 18:00:00,1422.54,1422.55,1414.06,1415.92,16573.4352,2023-01-12 18:59:59.999,23505328.367109,18877.0,9048.5493,12833416.514836,0.0
51,2023-01-12 19:00:00,1415.91,1418.14,1403.0,1406.04,33089.9108,2023-01-12 19:59:59.999,46676744.521884,40333.0,18089.821,25517541.520777,0.0
52,2023-01-12 20:00:00,1406.04,1408.9,1401.03,1407.18,18341.2391,2023-01-12 20:59:59.999,25778977.440372,22563.0,8850.0255,12437537.656922,0.0
53,2023-01-12 21:00:00,1407.17,1409.49,1405.26,1409.07,10626.5183,2023-01-12 21:59:59.999,14958003.988933,15997.0,5439.7386,7656939.175861,0.0
54,2023-01-12 22:00:00,1409.07,1415.17,1408.29,1415.01,17780.1436,2023-01-12 22:59:59.999,25091830.411552,20363.0,9652.8254,13623885.668816,0.0
55,2023-01-12 23:00:00,1415.0,1415.64,1410.52,1410.9,9725.3127,2023-01-12 23:59:59.999,13743572.842386,14964.0,4731.7499,6686554.583537,0.0
56,2023-01-13 00:00:00,1410.89,1413.41,1406.08,1406.77,8548.8886,2023-01-13 00:59:59.999,12052733.361406,14941.0,3832.3416,5402820.307605,0.0
57,2023-01-13 01:00:00,1406.77,1411.9,1405.58,1411.14,6197.3336,2023-01-13 01:59:59.999,8729638.297206,13853.0,3201.2373,4509454.236988,0.0
58,2023-01-13 02:00:00,1411.14,1411.67,1405.4,1408.12,9703.4726,2023-01-13 02:59:59.999,13662388.303497,16027.0,4555.9272,6414948.603236,0.0
59,2023-01-13 03:00:00,1408.11,1410.02,1406.66,1408.74,9439.1843,2023-01-13 03:59:59.999,13294858.97262,17418.0,5107.2498,7193281.233541,0.0
60,2023-01-13 04:00:00,1408.73,1412.86,1408.58,1410.0,14716.0575,2023-01-13 04:59:59.999,20764227.33514,20818.0,8076.0538,11394973.923227,0.0
61,2023-01-13 05:00:00,1410.0,1419.5,1404.0,1416.51,29804.1609,2023-01-13 05:59:59.999,42093099.974469,37288.0,15702.4386,22181844.949327,0.0
62,2023-01-13 06:00:00,1416.51,1416.96,1407.55,1409.71,14282.8123,2023-01-13 06:59:59.999,20168521.516263,23990.0,6737.3191,9513628.185193,0.0
63,2023-01-13 07:00:00,1409.71,1410.55,1401.61,1406.79,12446.3501,2023-01-13 07:59:59.999,17507142.835745,22067.0,5663.2649,7966756.603798,0.0
64,2023-01-13 08:00:00,1406.79,1407.7,1403.56,1404.76,13621.7293,2023-01-13 08:59:59.999,19151505.478248,19204.0,5849.5658,8223509.942549,0.0
65,2023-01-13 09:00:00,1404.75,1416.59,1402.89,1409.62,20418.5791,2023-01-13 09:59:59.999,28788913.526443,27833.0,11057.0521,15588993.344788,0.0
66,2023-01-13 10:00:00,1409.61,1424.48,1408.78,1421.98,38897.4878,2023-01-13 10:59:59.999,55139135.766342,43663.0,21679.6867,30729558.117968,0.0
67,2023-01-13 11:00:00,1421.98,1422.49,1406.96,1411.67,28283.4383,2023-01-13 11:59:59.999,39952297.678732,34227.0,14140.2207,19967516.883293,0.0
