OpenTime,ETH-USD_Open,ETH-USD_High,ETH-USD_Low,ETH-USD_Close,ETH-USD_volume,CloseTime,ETH-QuoteAssetVolume,ETH-NumberOfTrades,ETH-TBBAV,ETH-TBQAV,ETH-ignore,BTC-USD_Open,BTC-USD_High,BTC-USD_Low,BTC-USD_Close,BTC-USD_volume,BTC-QuoteAssetVolume,BTC-NumberOfTrades,BTC-TBBAV,BTC-TBQAV,BTC-ignore
2022-09-15 20:00:00,1472.76,1475.95,1472.36,1472.64,608.2327,2022-09-15 20:00:59.999,896524.718757,1070.0,308.1075,454166.112587,0.0,19701.88,19713.84,19686.83,19687.33,221.56335,4365575.1832025,4517.0,121.98634,2403693.7448791,0.0
2022-09-15 20:01:00,1472.6,1477.0,1471.81,1475.88,1012.6346,2022-09-15 20:01:59.999,1493484.958308,1143.0,560.8742,827283.5632,0.0,19688.52,19728.27,19684.12,19719.08,276.50018,5449465.9660491,5275.0,160.86448,3170595.933312,0.0
2022-09-15 20:02:00,1475.89,1477.31,1473.66,1474.94,858.6707,2022-09-15 20:02:59.999,1267054.816294,1126.0,406.6408,600024.535393,0.0,19719.95,19731.25,19702.16,19705.21,279.06548,5502332.3056638,5279.0,127.15858,2507245.3996326,0.0
2022-09-15 20:03:00,1474.93,1476.06,1470.8,1470.98,3005.1948,2022-09-15 20:03:59.999,4426956.859901,1575.0,2140.6979,3153550.469652,0.0,19705.21,19718.19,19678.3,19679.24,323.47783,6371305.384512,5518.0,155.59019,3064876.9976078,0.0
2022-09-15 20:04:00,1470.98,1471.94,1469.15,1470.56,472.4592,2022-09-15 20:04:59.999,694752.827675,710.0,279.9268,411630.372994,0.0,19680.36,19699.9,19674.97,19690.5,182.13188,3585374.3797889,3533.0,96.77217,1904912.5445225,0.0
2022-09-15 20:05:00,1470.57,1470.57,1468.25,1468.52,493.3992,2022-09-15 20:05:59.999,724858.084106,779.0,189.2223,277970.757712,0.0,19690.33,19693.0,19671.8,19681.3,213.5187,4202134.8765827,4059.0,90.41134,1779351.792153,0.0
2022-09-15 20:06:00,1468.52,1468.9,1465.26,1465.48,769.1244,2022-09-15 20:06:59.999,1128689.264683,954.0,247.4639,363225.076324,0.0,19680.14,19683.77,19662.76,19666.1,224.39825,4414785.3105843,3837.0,93.51272,1839815.7421836,0.0
2022-09-15 20:07:00,1465.48,1465.92,1462.16,1463.63,588.8126,2022-09-15 20:07:59.999,861999.181386,1096.0,261.5038,382740.049073,0.0,19664.54,19666.1,19632.74,19646.71,316.39307,6216534.875987,5759.0,127.47466,2504679.1343958,0.0
2022-09-15 20:08:00,1463.64,1470.81,1463.59,1469.52,1279.5807,2022-09-15 20:08:59.999,1878817.30363,1693.0,1021.7517,1500273.923335,0.0,19647.86,19686.55,19644.41,19681.24,261.18166,5137328.4316584,5539.0,134.74502,2650548.3794116,0.0
2022-09-15 20:09:00,1469.52,1474.35,1469.52,1473.68,910.8367,2022-09-15 20:09:59.999,1341590.460496,1619.0,547.7974,806774.917056,0.0,19680.25,19720.0,19680.25,19717.44,254.41313,5013570.8511565,5508.0,142.69971,2812006.3964489,0.0
2022-09-15 20:10:00,1473.67,1474.33,1471.98,1472.68,576.9553,2022-09-15 20:10:59.999,850076.986463,813.0,419.3845,617941.245633,0.0,19716.2,19718.47,19701.24,19707.24,190.27468,3750602.8434984,4027.0,85.25289,1680482.653582,0.0
2022-09-15 20:11:00,1472.68,1473.15,1471.84,1471.85,449.6319,2022-09-15 20:11:59.999,662242.193375,642.0,300.2438,442198.808903,0.0,19707.24,19713.84,19700.87,19704.83,118.20605,2329495.5380434,2497.0,60.77504,1197721.2528659,0.0
2022-09-15 20:12:00,1471.84,1472.42,1471.0,1471.25,327.7923,2022-09-15 20:12:59.999,482435.394055,603.0,163.9341,241258.059174,0.0,19706.02,19713.41,19699.24,19706.0,141.69268,2792235.5661952,2834.0,66.52106,1310888.8929864,0.0
2022-09-15 20:13:00,1471.26,1472.59,1471.02,1471.44,412.679,2022-09-15 20:13:59.999,607299.589074,645.0,189.0896,278244.196254,0.0,19706.0,19719.73,19706.0,19708.75,153.22292,3020425.18957,2888.0,64.73023,1275991.2628222,0.0
2022-09-15 20:14:00,1471.44,1471.57,1465.0,1466.44,646.7666,2022-09-15 20:14:59.999,949252.570335,1018.0,281.131,412432.575534,0.0,19709.7,19713.62,19661.25,19669.36,228.06038,4488996.6140425,4143.0,92.3252,1817161.2467337,0.0
2022-09-15 20:15:00,1466.43,1467.95,1456.55,1457.95,3795.59,2022-09-15 20:15:59.999,5547000.015343,3250.0,941.3418,1376699.986495,0.0,19670.5,19686.18,19630.1,19637.5,413.5784,8131362.530882,8085.0,186.54672,3668218.4274025,0.0
2022-09-15 20:16:00,1457.95,1459.21,1450.0,1453.29,6765.7322,2022-09-15 20:16:59.999,9826060.412226,7920.0,2192.4144,3186433.730224,0.0,19635.89,19646.13,19592.52,19618.56,480.06881,9417999.9418171,10949.0,225.92346,4432490.9407325,0.0
2022-09-15 20:17:00,1453.3,1454.39,1446.7,1449.0,2972.8273,2022-09-15 20:17:59.999,4310280.794704,2997.0,1095.822,1588556.280667,0.0,19618.55,19636.4,19582.05,19595.51,393.59022,7719371.2877506,9389.0,182.89837,3587346.5025928,0.0
2022-09-15 20:18:00,1448.99,1454.61,1448.47,1452.31,2123.3972,2022-09-15 20:18:59.999,3083945.368042,2190.0,887.703,1289142.184593,0.0,19594.48,19629.34,19588.58,19606.38,299.97255,5883500.2086288,7164.0,142.13918,2787856.99876,0.0
2022-09-15 20:19:00,1452.32,1456.0,1451.65,1454.1,1001.6024,2022-09-15 20:19:59.999,1456337.771419,1264.0,602.9205,876626.804194,0.0,19606.38,19628.5,19601.39,19611.65,252.87287,4960364.9655235,5114.0,136.9188,2685808.4767984,0.0
2022-09-15 20:20:00,1454.09,1456.4,1451.91,1455.0,1695.0668,2022-09-15 20:20:59.999,2464976.708215,1673.0,688.204,1000763.113016,0.0,19611.65,19622.08,19590.72,19616.29,256.87697,5036435.7932008,5551.0,126.75764,2485327.3469585,0.0
2022-09-15 20:21:00,1455.0,1465.44,1454.62,1464.57,1491.0252,2022-09-15 20:21:59.999,2177890.233476,1980.0,1085.981,1586261.668843,0.0,19615.45,19676.86,19614.91,19670.21,344.96148,6777913.7391473,7286.0,189.1959,3717626.3556032,0.0
2022-09-15 20:22:00,1464.57,1472.55,1464.56,1471.38,2131.2963,2022-09-15 20:22:59.999,3132914.405628,2550.0,1160.3269,1705323.238115,0.0,19668.63,19724.82,19668.63,19712.49,366.49118,7221234.1504088,9651.0,206.00562,4058919.3548017,0.0
2022-09-15 20:23:00,1471.38,1473.9,1468.7,1471.62,755.3973,2022-09-15 20:23:59.999,1111282.784463,1216.0,409.6073,602546.125791,0.0,19712.49,19724.29,19690.01,19716.73,270.61885,5333070.103577,6001.0,120.95851,2383839.3811023,0.0
2022-09-15 20:24:00,1471.62,1471.63,1467.8,1467.81,695.1022,2022-09-15 20:24:59.999,1021147.055214,916.0,316.8526,465404.905706,0.0,19717.59,19718.02,19690.52,19694.54,211.36109,4163480.0005904,4905.0,89.12134,1755579.6076721,0.0
2022-09-15 20:25:00,1467.8,1471.23,1467.8,1470.83,535.6418,2022-09-15 20:25:59.999,787384.773967,712.0,318.7198,468502.89152,0.0,19693.64,19716.61,19693.58,19708.38,238.64899,4703248.6277316,4505.0,116.27466,2291551.7176492,0.0
2022-09-15 20:26:00,1470.83,1472.96,1470.01,1470.24,515.9551,2022-09-15 20:26:59.999,759154.840088,786.0,306.2892,450633.708074,0.0,19708.38,19724.09,19703.27,19708.07,255.10895,5029518.2464022,4345.0,115.20032,2271305.5434279,0.0
2022-09-15 20:27:00,1470.24,1474.33,1469.97,1473.06,708.4833,2022-09-15 20:27:59.999,1043291.431057,879.0,426.1786,627495.048543,0.0,19708.07,19736.99,19700.01,19732.25,396.56218,7821479.5328224,6729.0,232.4406,4584439.4045341,0.0
2022-09-15 20:28:00,1473.06,1475.66,1473.05,1475.29,546.858,2022-09-15 20:28:59.999,806262.465352,925.0,340.1287,501410.807952,0.0,19732.25,19759.0,19732.22,19755.88,376.36614,7432600.3309951,7212.0,201.97697,3988642.1079804,0.0
2022-09-15 20:29:00,1475.28,1475.74,1473.07,1475.1,485.4855,2022-09-15 20:29:59.999,715922.605827,764.0,256.7691,378599.288693,0.0,19755.88,19760.35,19739.54,19756.8,237.94261,4699895.8416574,5003.0,116.79201,2306958.1369077,0.0
2022-09-15 20:30:00,1475.11,1475.12,1473.23,1473.8,686.0087,2022-09-15 20:30:59.999,1011326.408401,650.0,167.0672,246240.659056,0.0,19755.87,19760.72,19740.86,19741.83,259.23304,5120340.1296361,4601.0,111.92316,2210675.5541967,0.0
2022-09-15 20:31:00,1473.81,1473.81,1471.1,1471.24,704.0794,2022-09-15 20:31:59.999,1036861.130807,729.0,265.7788,391229.808429,0.0,19741.03,19744.15,19722.82,19726.82,230.36876,4545449.5354905,4305.0,134.7978,2659719.7612365,0.0
2022-09-15 20:32:00,1471.23,1474.12,1470.76,1471.61,467.963,2022-09-15 20:32:59.999,689203.666906,675.0,185.5388,273217.313337,0.0,19727.37,19752.46,19722.25,19734.22,249.86601,4932283.3518174,4967.0,130.54013,2576938.4222412,0.0
2022-09-15 20:33:00,1471.61,1471.88,1469.21,1470.19,719.1046,2022-09-15 20:33:59.999,1057535.310118,914.0,320.2254,470916.688599,0.0,19733.25,19744.49,19724.18,19733.56,213.20763,4207310.6197484,4626.0,118.74013,2343243.6694819,0.0
2022-09-15 20:34:00,1470.19,1470.59,1467.75,1468.33,408.4199,2022-09-15 20:34:59.999,599984.383233,615.0,117.9063,173228.752561,0.0,19734.85,19739.68,19720.51,19723.61,193.54928,3818890.9204715,3824.0,80.41045,1586576.3461948,0.0
2022-09-15 20:35:00,1468.33,1470.6,1466.58,1466.91,577.6624,2022-09-15 20:35:59.999,848286.200495,711.0,229.2671,336694.997128,0.0,19723.17,19741.57,19713.07,19716.1,188.15379,3711299.1922021,4064.0,105.33142,2077733.223455,0.0
2022-09-15 20:36:00,1466.91,1466.92,1461.57,1462.55,1410.3594,2022-09-15 20:36:59.999,2064270.095452,1746.0,555.1538,812461.089538,0.0,19715.25,19716.22,19675.46,19687.79,322.17532,6345366.4739237,6719.0,144.4987,2845951.6081753,0.0
2022-09-15 20:37:00,1462.56,1464.6,1461.76,1461.76,1064.1828,2022-09-15 20:37:59.999,1557453.134903,1139.0,459.2535,672101.515983,0.0,19687.79,19704.35,19683.91,19687.28,258.66132,5094196.789706,5363.0,130.60013,2572191.4067543,0.0
2022-09-15 20:38:00,1461.77,1466.22,1461.46,1466.11,342.2685,2022-09-15 20:38:59.999,501130.610504,669.0,242.8487,355564.072133,0.0,19687.09,19718.94,19682.41,19713.94,232.7218,4585375.6240748,4424.0,126.67247,2495843.2616651,0.0
